WaterBodyID,WaterBodyType,WaterBodyTypeName,Latitude,Longitude,Temperature_C,Salinity_PSU,pH,DissolvedOxygen_mgL,Turbidity_NTU,Chlorophyll_μgL,Problem
SEA-EM-2529,EM,河口混合区,30.355421161672332,121.31304155718627,28.1,28.2,8.33,5.4,98.1,8.41,泥沙淤积严重
SEA-EM-2530,EM,河口混合区,30.52768072149561,121.89333561392635,21.9,12.8,8.16,8.5,56.1,5.81,水体浑浊
SEA-CB-2531,CB,珊瑚礁海域,17.09050255786025,110.73230798465633,30.8,26.3,7.0,6.5,2.6,0.59,珊瑚白化风险
SEA-EM-2532,EM,河口混合区,30.812923718473883,121.91371897010563,24.9,18.4,8.44,8.9,58.3,5.92,碱化趋势
SEA-CM-2533,CM,海草/海藻床,39.89730515285391,117.83793923176245,23.3,34.9,7.87,9.2,0.0,12.92,藻类过度生长
SEA-AF-2534,AF,人工渔场/养殖区,22.891594413405056,114.38260481459642,27.3,33.5,8.91,5.0,22.7,10.23,碱性过高
SEA-CB-2535,CB,珊瑚礁海域,16.046575807620044,112.87981350731553,32.1,40.0,8.91,5.5,1.5,0.45,高温胁迫
SEA-CM-2536,CM,海草/海藻床,39.80387625516446,117.62769488149527,20.9,34.9,7.86,7.6,2.9,11.82,藻类过度生长
SEA-AF-2537,AF,人工渔场/养殖区,21.332352385896417,115.28561792073376,21.8,26.8,8.8,5.6,39.0,24.97,碱性过高
SEA-OS-2538,OS,开阔大洋,26.286554873953534,123.00143072074232,13.5,27.2,8.52,6.2,1.7,0.37,温度过低警告
SEA-AF-2539,AF,人工渔场/养殖区,21.065891328427927,114.54871999635255,20.3,27.4,7.96,5.8,32.9,12.99,藻类过度生长
SEA-AF-2540,AF,人工渔场/养殖区,22.153484923104404,114.13890237724377,22.3,27.8,8.15,4.4,15.1,6.97,鱼类缺氧危机
SEA-CM-2541,CM,海草/海藻床,39.914124661300086,118.47245492554129,21.7,28.2,7.53,7.2,22.1,15.93,酸化趋势
SEA-AF-2542,AF,人工渔场/养殖区,22.188637468062,114.87314942649235,26.8,32.2,7.5,10.1,24.2,25.03,酸化趋势
SEA-OS-2543,OS,开阔大洋,27.44919162200506,124.42934825021983,12.4,36.0,8.2,4.5,0.1,0.31,温度过低警告
SEA-CM-2544,CM,海草/海藻床,38.32800778345213,117.9547243165868,24.2,29.6,7.98,6.4,12.2,10.98,藻类过度生长
SEA-AF-2545,AF,人工渔场/养殖区,21.392240704925122,115.6273718854245,26.3,33.3,7.67,3.6,32.9,5.17,鱼类缺氧危机
SEA-CB-2546,CB,珊瑚礁海域,18.09013141575626,111.78862480637397,28.8,35.4,7.45,8.3,1.8,0.31,珊瑚白化风险
SEA-CM-2547,CM,海草/海藻床,38.00512557100649,117.94674847665355,26.1,33.4,7.71,8.7,11.4,11.21,热浪影响
SEA-EM-2548,EM,河口混合区,31.381256019565654,121.56782818613335,28.7,20.5,8.19,6.4,42.8,13.04,藻类过度生长
SEA-OS-2549,OS,开阔大洋,29.889510211964133,124.21161614129217,15.1,40.0,8.23,6.6,2.0,0.08,初级生产力不足
SEA-OS-2550,OS,开阔大洋,29.0720752294642,122.04861442780313,17.8,35.7,8.47,6.9,1.2,0.34,碱化趋势
SEA-AF-2551,AF,人工渔场/养殖区,22.47579731160617,114.33223787138793,20.1,32.5,7.97,4.8,9.5,27.08,鱼类缺氧危机
SEA-AF-2552,AF,人工渔场/养殖区,23.084223563536916,114.32918699436087,20.4,25.6,8.68,2.7,22.4,19.54,鱼类缺氧危机
SEA-CM-2553,CM,海草/海藻床,38.966977466329595,117.852339498816,20.9,28.2,7.54,7.1,6.6,8.93,酸化趋势
SEA-CB-2554,CB,珊瑚礁海域,18.761587951651183,115.76487756164062,32.0,36.0,8.04,5.7,3.0,0.52,高温胁迫
SEA-AF-2555,AF,人工渔场/养殖区,22.474595379274074,114.82495343855699,21.5,27.4,8.45,4.1,25.4,25.4,鱼类缺氧危机
SEA-OS-2556,OS,开阔大洋,29.603673117273264,124.97599298480053,20.5,35.3,8.31,4.5,1.9,0.09,初级生产力不足
SEA-AF-2557,AF,人工渔场/养殖区,23.494907180244514,114.32086429187001,24.2,27.0,7.51,5.0,41.7,18.23,鱼类缺氧危机
SEA-EM-2558,EM,河口混合区,30.38400377837231,120.30987616428857,17.0,31.5,7.87,6.6,70.3,16.71,泥沙淤积严重
SEA-CM-2559,CM,海草/海藻床,38.36631682287768,119.1831514111591,20.2,34.0,7.25,6.6,3.0,9.35,酸化趋势
SEA-CM-2560,CM,海草/海藻床,39.80507571012513,119.20686870787097,24.6,35.9,7.45,7.3,23.9,6.43,酸化趋势
SEA-CB-2561,CB,珊瑚礁海域,18.726789571679557,111.49846944183746,31.1,33.4,8.04,6.6,4.1,0.35,高温胁迫
SEA-EM-2562,EM,河口混合区,30.718734551862386,121.32389832230847,16.9,13.5,8.37,9.0,51.3,12.23,水体浑浊
SEA-EM-2563,EM,河口混合区,30.06722725368337,121.76985028157459,18.3,11.3,8.25,7.6,46.0,13.64,藻类过度生长
SEA-EM-2564,EM,河口混合区,31.382155741559114,120.13835068074017,20.8,23.0,8.46,4.6,37.2,21.24,富营养化
SEA-EM-2565,EM,河口混合区,30.515128533976686,121.04623439638195,24.7,16.9,7.53,7.3,15.4,12.56,酸化趋势
SEA-OS-2566,OS,开阔大洋,29.953115065142427,124.47528904022082,14.3,40.0,7.98,5.2,1.1,0.25,酸化风险
SEA-AF-2567,AF,人工渔场/养殖区,23.60144566039397,114.2201715283967,24.6,23.9,7.0,7.2,34.1,15.48,盐度过低
SEA-OS-2568,OS,开阔大洋,27.783039712190824,123.88846228427207,18.9,36.1,7.94,6.6,0.0,0.34,酸化风险
SEA-CM-2569,CM,海草/海藻床,38.8295752906145,118.56157846888442,23.5,40.0,7.71,8.8,14.6,6.98,高盐度胁迫
SEA-CM-2570,CM,海草/海藻床,39.566944733547786,118.22505046987283,22.9,26.1,8.46,8.8,12.4,5.93,碱化趋势
SEA-OS-2571,OS,开阔大洋,26.796911283446,123.43596496192892,14.8,32.7,8.25,5.0,0.8,0.4,温度过低警告
SEA-OS-2572,OS,开阔大洋,27.197115344099558,123.26028555139256,17.8,40.0,8.29,5.9,0.9,0.2,高盐度胁迫
SEA-CM-2573,CM,海草/海藻床,38.719604010326954,118.22962450951053,21.5,29.5,8.2,7.5,10.4,4.36,底栖生物多样性降低
SEA-EM-2574,EM,河口混合区,31.369601997575035,121.06712593364894,25.3,17.4,8.32,8.5,77.6,14.42,泥沙淤积严重
SEA-CM-2575,CM,海草/海藻床,38.36937526942303,119.09081225796898,26.1,30.2,8.2,8.0,7.9,6.2,热浪影响
SEA-CM-2576,CM,海草/海藻床,39.281019853056684,118.1603010601085,22.7,32.5,7.99,5.4,16.6,11.74,海草缺氧胁迫
SEA-OS-2577,OS,开阔大洋,28.759141804120915,124.37928719922697,19.7,34.2,7.95,6.7,1.7,0.35,酸化风险
SEA-CM-2578,CM,海草/海藻床,39.387857951471176,118.61632197831449,16.4,37.9,7.91,9.2,5.9,8.24,高盐度胁迫
SEA-OS-2579,OS,开阔大洋,28.857613955774475,123.07130355087656,20.0,34.1,7.34,6.0,1.2,0.06,初级生产力不足
SEA-AF-2580,AF,人工渔场/养殖区,21.03359708666463,114.73552968359513,18.2,30.7,7.0,4.7,30.4,20.58,鱼类缺氧危机
SEA-OS-2581,OS,开阔大洋,28.712275114478462,122.00806537669776,17.4,34.4,7.92,6.0,0.8,0.4,酸化风险
SEA-OS-2582,OS,开阔大洋,26.615923930614745,123.53044180459385,22.9,37.4,8.17,5.4,0.2,0.25,异常升温
SEA-AF-2583,AF,人工渔场/养殖区,23.90072979144734,114.97217358478258,18.6,26.4,7.74,5.0,20.4,7.83,鱼类缺氧危机
SEA-EM-2584,EM,河口混合区,30.517282167787425,121.41855467788255,26.2,34.9,7.9,7.0,45.7,13.84,藻类过度生长
SEA-OS-2585,OS,开阔大洋,26.60580813185405,122.08547912068447,18.5,40.0,7.98,4.9,1.2,0.15,初级生产力不足
SEA-EM-2586,EM,河口混合区,31.682303681909517,120.8808212874835,21.4,27.7,7.77,4.5,42.2,5.83,缺氧风险
SEA-OS-2587,OS,开阔大洋,27.43010952931503,122.51563973340981,12.4,32.3,8.74,5.9,1.6,0.24,温度过低警告
SEA-CB-2588,CB,珊瑚礁海域,16.908214109351,113.67969129666278,28.3,36.8,8.21,5.4,1.1,0.65,高盐度胁迫
SEA-CM-2589,CM,海草/海藻床,39.66550823403297,117.66421661582972,20.2,27.1,8.24,7.3,9.6,6.01,底栖生物多样性降低
SEA-AF-2590,AF,人工渔场/养殖区,21.79867507597968,113.77828741226915,21.2,31.7,8.18,6.6,2.1,19.09,藻类过度生长
SEA-EM-2591,EM,河口混合区,30.456248050534672,121.91461127875233,19.9,14.7,7.99,8.2,32.5,14.23,藻类过度生长
SEA-CM-2592,CM,海草/海藻床,38.433354493316884,118.08828839217175,21.5,33.4,8.2,7.8,6.9,4.51,沉积物增加
SEA-AF-2593,AF,人工渔场/养殖区,23.44194562841813,113.98869419795341,18.5,29.4,7.77,6.1,17.8,10.12,藻类过度生长
SEA-CM-2594,CM,海草/海藻床,39.74995663967389,119.12394077287662,17.5,35.1,7.72,10.1,7.3,11.44,藻类过度生长
SEA-AF-2595,AF,人工渔场/养殖区,23.989766865356923,113.97527252018492,25.1,27.4,7.68,5.9,13.4,17.91,酸化趋势
SEA-CB-2596,CB,珊瑚礁海域,16.55522673597008,113.99290766845678,23.7,36.1,7.75,7.2,0.3,0.55,珊瑚白化风险
SEA-AF-2597,AF,人工渔场/养殖区,23.799304461874836,113.66984720594161,22.5,30.8,9.0,4.8,14.7,3.48,鱼类缺氧危机
SEA-EM-2598,EM,河口混合区,31.77154478249389,121.58089217338379,25.5,22.0,8.11,7.3,66.8,3.61,泥沙淤积严重
SEA-EM-2599,EM,河口混合区,30.948201858157624,120.17152795555427,23.8,18.5,7.37,8.2,48.1,9.97,酸化趋势
SEA-EM-2600,EM,河口混合区,30.288241223679623,121.56086691297769,15.2,19.8,7.25,6.0,48.6,10.22,酸化趋势
SEA-CM-2601,CM,海草/海藻床,39.030003279897144,119.46378935419065,22.3,33.1,8.22,8.1,14.5,5.02,沉积物增加
SEA-OS-2602,OS,开阔大洋,27.969262064672833,123.08074774012869,12.6,31.4,7.69,5.1,0.9,0.27,酸化风险
SEA-OS-2603,OS,开阔大洋,26.205261939444544,122.10760996257733,21.1,40.0,8.96,6.5,0.1,0.43,高盐度胁迫
SEA-EM-2604,EM,河口混合区,30.64181989182046,121.50401750706065,22.4,16.5,8.4,5.3,69.9,18.61,泥沙淤积严重
SEA-EM-2605,EM,河口混合区,31.14450477777675,120.54889021392874,21.3,21.9,8.07,7.6,46.2,7.28,悬浮物增加
SEA-EM-2606,EM,河口混合区,30.86294063533112,120.70777791343063,19.4,17.2,7.59,5.7,39.3,7.7,酸化趋势
SEA-EM-2607,EM,河口混合区,31.45424968816924,121.95068761603511,27.5,31.4,7.96,6.9,62.3,15.71,泥沙淤积严重
SEA-CM-2608,CM,海草/海藻床,38.05626208807779,117.50285760833395,22.4,32.3,7.65,6.8,2.2,7.03,酸化趋势
SEA-AF-2609,AF,人工渔场/养殖区,22.023361540220243,115.23451278161119,25.3,27.5,7.83,3.2,28.6,8.09,鱼类缺氧危机
SEA-EM-2610,EM,河口混合区,30.67411197986623,121.37341218590223,16.0,10.7,8.11,7.2,24.0,9.64,生态系统轻微失衡
SEA-CM-2611,CM,海草/海藻床,39.61563732114396,119.0248081270549,24.8,31.5,7.87,9.4,12.4,5.07,底栖生物多样性降低
SEA-AF-2612,AF,人工渔场/养殖区,21.72186791610432,115.86464246114777,33.6,23.7,7.82,5.4,12.1,0.0,盐度过低
SEA-EM-2613,EM,河口混合区,30.94896794505233,120.19334486746205,18.8,30.3,7.58,8.6,58.2,15.64,富营养化
SEA-OS-2614,OS,开阔大洋,27.982520050505084,122.95361776719076,16.6,33.8,7.48,4.1,1.8,0.35,酸化风险
SEA-CB-2615,CB,珊瑚礁海域,19.994182614988738,116.22068108267733,24.1,38.8,7.78,5.3,1.7,0.25,珊瑚白化风险
SEA-CM-2616,CM,海草/海藻床,39.56650232914334,117.50678075759538,23.4,34.5,7.8,7.2,12.5,7.4,海草覆盖率下降
SEA-CB-2617,CB,珊瑚礁海域,19.778678512035683,112.07720423942543,23.0,35.9,7.85,5.2,2.6,0.34,珊瑚白化风险
SEA-AF-2618,AF,人工渔场/养殖区,21.02715492526759,113.71826326436614,21.4,26.9,7.43,1.0,23.3,9.28,鱼类缺氧危机
SEA-OS-2619,OS,开阔大洋,28.707548523301874,122.00211503550845,17.4,34.2,8.03,4.9,0.2,0.11,初级生产力不足
SEA-CB-2620,CB,珊瑚礁海域,19.288369601482007,116.28921941664481,23.1,35.8,8.12,5.6,2.9,0.23,珊瑚生长缓慢
SEA-CM-2621,CM,海草/海藻床,39.19033362766712,118.64753275745038,24.7,24.0,8.35,7.3,9.3,8.85,沉积物增加
SEA-EM-2622,EM,河口混合区,30.23050235500012,120.12440110329044,24.1,21.6,8.63,4.8,78.8,5.61,泥沙淤积严重
SEA-CM-2623,CM,海草/海藻床,38.2086798259309,118.13898160982947,23.4,40.0,7.88,8.5,3.1,4.52,高盐度胁迫
SEA-EM-2624,EM,河口混合区,31.648023804622706,120.37892908854084,26.7,15.1,7.64,8.3,65.5,16.5,泥沙淤积严重
SEA-EM-2625,EM,河口混合区,31.346585720880693,120.8400026240187,18.5,11.0,7.88,4.1,29.3,9.97,缺氧风险
SEA-CB-2626,CB,珊瑚礁海域,16.500415926809726,113.39967102052982,31.7,36.7,8.21,6.3,1.2,0.32,高温胁迫
SEA-OS-2627,OS,开阔大洋,27.82340107075866,123.80587516959213,16.3,29.3,7.75,6.9,0.9,0.22,酸化风险
SEA-CB-2628,CB,珊瑚礁海域,18.304456153893792,113.19881198636342,30.2,32.4,8.29,6.1,2.9,0.37,高温胁迫
SEA-CM-2629,CM,海草/海藻床,39.9442426192148,118.55417786953126,20.9,36.1,7.97,7.7,5.4,5.5,高盐度胁迫
SEA-CM-2630,CM,海草/海藻床,39.0703572803192,118.79973875250771,20.8,26.3,7.28,7.9,7.6,5.2,酸化趋势
SEA-OS-2631,OS,开阔大洋,26.36349470352765,124.07644467590163,21.1,37.7,8.55,7.8,1.4,0.29,高盐度胁迫
SEA-AF-2632,AF,人工渔场/养殖区,21.847940420085703,115.38338888620352,25.8,26.4,7.3,6.9,24.7,17.44,酸化趋势
SEA-OS-2633,OS,开阔大洋,26.327541144702415,122.6710471735423,26.5,30.5,7.42,5.7,0.3,0.23,异常升温
SEA-CM-2634,CM,海草/海藻床,38.234690851599716,119.24443111847536,20.8,30.6,8.04,7.4,11.5,9.3,海草覆盖率下降
SEA-AF-2635,AF,人工渔场/养殖区,21.220198974405346,113.98935969383544,28.8,23.3,8.37,3.9,25.9,7.72,鱼类缺氧危机
SEA-OS-2636,OS,开阔大洋,27.051057576514737,123.25095005644658,14.4,31.9,8.79,5.1,1.4,0.29,温度过低警告
SEA-AF-2637,AF,人工渔场/养殖区,23.77579181800737,114.59382960497535,15.0,29.3,8.13,3.9,31.4,12.02,鱼类缺氧危机
SEA-EM-2638,EM,河口混合区,31.72583784922246,121.7313771405453,31.0,18.4,7.96,6.2,76.3,17.77,泥沙淤积严重
SEA-CM-2639,CM,海草/海藻床,39.96902955470697,117.71535131213876,26.9,28.5,8.08,5.9,7.9,6.29,海草缺氧胁迫
SEA-AF-2640,AF,人工渔场/养殖区,21.018743148230726,113.8698407085884,22.5,25.3,7.95,5.8,17.9,20.88,藻类过度生长
SEA-CB-2641,CB,珊瑚礁海域,19.05693144658673,111.28886656574191,31.7,36.5,7.92,5.9,4.1,0.12,高温胁迫
SEA-EM-2642,EM,河口混合区,30.90092327746202,121.28392424789072,20.3,15.5,7.0,6.7,62.3,16.19,泥沙淤积严重
SEA-CB-2643,CB,珊瑚礁海域,19.9473022499294,114.07853462182476,29.5,35.9,8.46,6.1,4.5,0.43,浑浊度过高
SEA-AF-2644,AF,人工渔场/养殖区,22.34150074202776,113.16753347903325,23.8,34.0,8.12,3.8,40.8,18.53,鱼类缺氧危机
SEA-CM-2645,CM,海草/海藻床,39.573728299463355,118.73642919089384,23.0,31.7,7.35,7.8,9.6,6.63,酸化趋势
SEA-AF-2646,AF,人工渔场/养殖区,22.51697711121549,114.94279793693282,24.9,24.0,7.4,4.4,26.8,17.3,鱼类缺氧危机
SEA-AF-2647,AF,人工渔场/养殖区,22.87387678061493,113.46986642605846,19.8,30.0,7.8,5.9,24.5,8.37,水质波动
SEA-CM-2648,CM,海草/海藻床,38.6936099100487,117.59796767709305,15.1,31.0,8.26,8.2,2.5,13.35,藻类过度生长
SEA-EM-2649,EM,河口混合区,30.768554805505907,121.9710173001207,22.5,12.0,8.1,5.8,58.6,17.13,富营养化
SEA-AF-2650,AF,人工渔场/养殖区,22.796714874780783,113.17913308961093,18.2,36.1,8.0,3.1,48.4,5.78,鱼类缺氧危机
SEA-CB-2651,CB,珊瑚礁海域,16.491519767755996,115.71136384495134,29.1,34.0,7.65,5.5,3.1,0.85,珊瑚白化风险
SEA-CM-2652,CM,海草/海藻床,39.46125233424093,118.15860067130409,17.7,34.4,8.59,7.4,8.8,10.12,碱化趋势
SEA-OS-2653,OS,开阔大洋,29.905435222831006,123.88499481987935,20.1,34.2,8.07,6.1,1.4,0.08,初级生产力不足
SEA-OS-2654,OS,开阔大洋,26.17278410249496,124.5801284235647,11.5,25.1,7.89,5.6,1.3,0.13,初级生产力不足
SEA-CB-2655,CB,珊瑚礁海域,16.39150801168019,113.73307398507455,27.5,33.3,8.0,6.3,1.3,0.47,珊瑚生长缓慢
SEA-OS-2656,OS,开阔大洋,27.884737359845637,122.4995760613106,19.3,33.1,9.0,5.9,0.8,0.07,初级生产力不足
SEA-OS-2657,OS,开阔大洋,28.317945197222173,122.66546555440055,12.7,28.4,8.38,5.4,2.2,0.25,温度过低警告
SEA-CM-2658,CM,海草/海藻床,38.55885055777734,118.18098597013804,18.8,33.5,7.34,8.2,11.8,4.1,酸化趋势
SEA-CM-2659,CM,海草/海藻床,38.64882099195258,118.84251947513117,15.7,35.5,7.88,6.8,7.6,12.59,藻类过度生长
SEA-AF-2660,AF,人工渔场/养殖区,23.141124679445035,115.26206037885765,24.0,26.7,7.33,5.3,17.7,17.83,酸化趋势
SEA-OS-2661,OS,开阔大洋,28.573600515980214,124.89902255676311,22.5,36.9,7.45,5.7,0.4,0.23,异常升温
SEA-AF-2662,AF,人工渔场/养殖区,22.708421956141763,114.15458601375386,25.2,29.7,7.16,2.7,42.0,19.12,鱼类缺氧危机
SEA-EM-2663,EM,河口混合区,31.400845734845266,120.50982150993751,22.1,11.1,8.3,6.4,27.5,12.18,藻类过度生长
SEA-OS-2664,OS,开阔大洋,29.68851047471588,123.1755530973199,22.8,33.5,8.22,5.8,1.3,0.45,异常升温
SEA-OS-2665,OS,开阔大洋,26.83545916622775,124.32804066618927,19.1,38.5,9.0,7.2,0.8,0.22,高盐度胁迫
SEA-AF-2666,AF,人工渔场/养殖区,22.63825031065755,114.36344689660365,22.0,30.6,8.21,7.1,47.9,13.25,藻类过度生长
SEA-AF-2667,AF,人工渔场/养殖区,22.222288576999237,114.55935427395855,29.4,24.1,7.84,3.3,20.8,13.8,鱼类缺氧危机
SEA-OS-2668,OS,开阔大洋,28.876253171157288,123.2884482472434,17.3,31.5,7.68,6.0,0.9,0.37,酸化风险
SEA-CM-2669,CM,海草/海藻床,39.74578524013729,119.16662497531469,25.5,28.4,7.25,7.0,5.4,6.97,热浪影响
SEA-CM-2670,CM,海草/海藻床,39.656935039765806,118.41317077384262,30.9,24.9,8.72,6.6,6.9,10.26,热浪影响
SEA-AF-2671,AF,人工渔场/养殖区,21.266385265461665,115.24672292988055,22.9,30.7,7.73,5.5,26.1,9.56,水质波动
SEA-AF-2672,AF,人工渔场/养殖区,21.671297513294462,113.90519545506098,28.1,26.7,7.17,3.8,34.3,14.86,鱼类缺氧危机
SEA-CB-2673,CB,珊瑚礁海域,17.577052396071295,116.20292687458776,30.1,30.5,7.88,5.8,1.6,0.41,珊瑚白化风险
SEA-OS-2674,OS,开阔大洋,26.20591922277214,122.08495669975497,21.1,39.2,7.67,5.8,0.9,0.31,酸化风险
SEA-EM-2675,EM,河口混合区,31.79002699530233,120.29373722424454,14.5,27.2,8.43,7.5,31.3,12.61,温度过低警告
SEA-OS-2676,OS,开阔大洋,29.941178281784843,122.34168546899468,17.2,38.0,7.81,5.4,0.9,0.14,初级生产力不足
SEA-AF-2677,AF,人工渔场/养殖区,22.538017282369776,113.4224166159945,23.0,31.5,8.97,4.9,31.7,9.33,鱼类缺氧危机
SEA-AF-2678,AF,人工渔场/养殖区,22.49932286068908,115.5213083413875,18.6,30.0,7.63,5.7,32.6,13.69,酸化趋势
SEA-AF-2679,AF,人工渔场/养殖区,23.963985814913435,113.40052087519089,20.8,34.0,7.86,6.5,23.9,22.61,藻类过度生长
SEA-OS-2680,OS,开阔大洋,29.13195801793825,122.67084031618693,16.4,31.2,8.81,5.0,0.1,0.31,碱化趋势
SEA-CM-2681,CM,海草/海藻床,38.78258575826475,117.92747729310996,27.5,35.6,8.0,9.5,4.0,6.22,热浪影响
SEA-CB-2682,CB,珊瑚礁海域,17.835722301384187,112.44782762359075,25.1,33.2,8.52,6.7,2.2,0.3,碱化趋势
SEA-OS-2683,OS,开阔大洋,27.091048488788175,124.89885988335612,16.9,30.3,8.08,5.2,0.1,0.3,表层溶解氧波动
SEA-CM-2684,CM,海草/海藻床,39.08644148149705,118.0335416406769,17.6,30.2,8.28,8.8,1.7,8.98,沉积物增加
SEA-EM-2685,EM,河口混合区,30.617534732006636,120.09613767611685,18.7,19.0,7.8,5.5,80.6,0.0,泥沙淤积严重
SEA-CM-2686,CM,海草/海藻床,38.81055787775304,118.47155436923227,19.8,31.2,7.88,8.5,17.2,2.83,营养不足
SEA-OS-2687,OS,开阔大洋,26.76362299830671,122.7575003264957,22.0,39.9,8.66,5.4,2.0,0.36,高盐度胁迫
SEA-OS-2688,OS,开阔大洋,29.744219081662056,124.50101642632295,16.9,40.0,8.13,6.4,0.6,0.13,初级生产力不足
SEA-AF-2689,AF,人工渔场/养殖区,23.301960372066954,113.33185570444805,27.1,31.2,7.25,5.3,30.0,23.88,酸化趋势
SEA-OS-2690,OS,开阔大洋,27.224062378952148,123.96739912795974,21.0,34.9,8.57,6.6,0.4,0.21,碱化趋势
SEA-OS-2691,OS,开阔大洋,28.785334778871565,124.25805221543467,15.7,36.9,8.69,6.0,1.5,0.28,高盐度胁迫
SEA-EM-2692,EM,河口混合区,31.621268783017904,120.21588285734316,21.6,29.2,7.55,11.0,31.6,13.81,酸化趋势
SEA-AF-2693,AF,人工渔场/养殖区,23.418088219085472,113.57323437538257,25.5,29.9,8.93,2.2,17.3,12.23,鱼类缺氧危机
SEA-EM-2694,EM,河口混合区,31.427194518849962,121.58711925018386,27.9,26.1,7.56,5.8,44.1,3.01,酸化趋势
SEA-EM-2695,EM,河口混合区,30.950542960316803,120.70920500065529,24.4,19.7,7.98,8.4,22.3,7.45,悬浮物增加
SEA-CM-2696,CM,海草/海藻床,39.402494884804746,118.15432044630354,21.5,26.4,7.8,7.3,12.2,7.99,海草覆盖率下降
SEA-EM-2697,EM,河口混合区,30.247232483626856,120.03498331603879,26.1,16.2,7.56,4.5,24.2,0.0,酸化趋势
SEA-AF-2698,AF,人工渔场/养殖区,23.065931563627665,113.54240127100206,26.5,27.4,7.53,4.7,44.8,20.21,鱼类缺氧危机
SEA-EM-2699,EM,河口混合区,30.74292052677394,120.2111110938887,22.1,12.4,8.24,8.2,103.3,13.75,泥沙淤积严重
SEA-EM-2700,EM,河口混合区,30.532926849644493,120.33594293434986,23.3,22.8,7.61,7.7,35.4,19.5,富营养化
SEA-CB-2701,CB,珊瑚礁海域,16.439299932042623,111.99432866037752,27.3,28.9,7.71,5.9,3.3,0.47,珊瑚白化风险
SEA-OS-2702,OS,开阔大洋,29.696980490891736,122.10544501751889,20.4,40.0,7.75,7.2,1.0,0.29,酸化风险
SEA-EM-2703,EM,河口混合区,30.809639785682368,120.1520561547388,26.5,9.6,8.25,7.0,30.0,6.03,低盐胁迫
SEA-AF-2704,AF,人工渔场/养殖区,21.518460766290957,114.65145941081765,23.3,30.1,7.96,5.9,41.4,12.36,藻类过度生长
SEA-EM-2705,EM,河口混合区,31.40210992854726,120.23883621320198,17.2,14.1,7.61,6.3,43.1,6.63,酸化趋势
SEA-AF-2706,AF,人工渔场/养殖区,22.986131741730933,114.54285618096412,22.6,34.8,8.83,7.2,13.2,40.69,碱性过高
SEA-AF-2707,AF,人工渔场/养殖区,23.804786668345056,113.11942966286972,22.3,33.8,7.99,4.4,29.1,16.69,鱼类缺氧危机
SEA-OS-2708,OS,开阔大洋,26.02146396486928,123.20458408187764,24.7,37.0,8.47,6.9,0.6,0.37,异常升温
SEA-CB-2709,CB,珊瑚礁海域,16.727380521316075,111.7354650315943,29.5,30.3,7.71,6.2,1.2,0.24,珊瑚白化风险
SEA-AF-2710,AF,人工渔场/养殖区,21.581513788505596,115.29326368940318,23.8,21.5,8.72,6.5,21.9,23.27,碱性过高
SEA-AF-2711,AF,人工渔场/养殖区,23.043934717480088,114.07459736163042,26.1,23.8,7.48,6.5,16.7,13.98,盐度过低
SEA-AF-2712,AF,人工渔场/养殖区,21.821708752195693,114.66112977809783,32.0,22.1,8.35,7.0,29.4,29.82,碱性过高
SEA-AF-2713,AF,人工渔场/养殖区,22.908971987460895,113.58759367850544,22.7,31.4,7.52,4.6,3.4,10.11,鱼类缺氧危机
SEA-AF-2714,AF,人工渔场/养殖区,21.031520352690514,113.93272042517722,19.7,31.3,8.19,8.2,29.9,8.97,饵料生物减少
SEA-OS-2715,OS,开阔大洋,29.591181283779264,122.36155010874258,16.5,34.4,7.81,4.7,0.6,0.36,酸化风险
SEA-EM-2716,EM,河口混合区,31.830224526706438,121.4511617001413,15.4,29.5,8.71,5.5,11.1,12.04,碱化趋势
SEA-AF-2717,AF,人工渔场/养殖区,23.359781452094996,114.95810735276307,17.2,27.8,7.94,4.4,17.8,19.23,鱼类缺氧危机
SEA-OS-2718,OS,开阔大洋,27.613690541162516,123.02988601960368,16.9,27.8,7.51,4.1,0.8,0.51,酸化风险
SEA-OS-2719,OS,开阔大洋,28.345721141488497,122.71256287543453,14.8,32.7,8.05,7.0,1.4,0.32,温度过低警告
SEA-OS-2720,OS,开阔大洋,29.6780148248133,124.78431494489124,13.5,40.0,8.87,6.9,0.6,0.36,温度过低警告
SEA-CB-2721,CB,珊瑚礁海域,16.741358106086203,112.48840411386517,28.4,35.6,8.79,5.1,3.4,0.13,碱化趋势
SEA-CM-2722,CM,海草/海藻床,38.79023034526859,119.28572047492145,31.0,29.6,9.0,5.6,20.7,6.24,海草缺氧胁迫
SEA-CB-2723,CB,珊瑚礁海域,19.64825583495845,113.6998602262528,29.7,33.4,8.14,7.4,2.8,0.61,高温胁迫
SEA-CM-2724,CM,海草/海藻床,38.39277520156794,118.08274364591743,19.4,32.9,8.05,8.4,0.7,7.09,海草覆盖率下降
SEA-CB-2725,CB,珊瑚礁海域,16.796376045628072,111.9261682962004,30.2,28.0,8.79,4.9,1.3,0.33,高温胁迫
SEA-EM-2726,EM,河口混合区,31.02089512960309,120.71616928721907,24.7,21.6,7.5,6.9,37.6,14.51,酸化趋势
SEA-CB-2727,CB,珊瑚礁海域,17.010209130766953,114.59619993979307,25.3,34.9,8.61,5.9,3.0,0.34,碱化趋势
SEA-EM-2728,EM,河口混合区,30.952147141430245,121.10768492928351,22.5,23.4,7.62,8.9,64.7,5.12,泥沙淤积严重
